id,date,forecast
FOODS_1_004_CA_1,2016-03-28,0.06315142
FOODS_1_004_CA_1,2016-03-29,1.3238885
FOODS_1_004_CA_1,2016-03-30,3.1735942
FOODS_1_004_CA_1,2016-03-31,6.364298
FOODS_1_004_CA_1,2016-04-01,5.497576
FOODS_1_004_CA_1,2016-04-02,5.9314947
FOODS_1_004_CA_1,2016-04-03,5.741597
FOODS_1_004_CA_1,2016-04-04,4.9841604
FOODS_1_004_CA_1,2016-04-05,5.6751285
FOODS_1_004_CA_1,2016-04-06,5.8883367
FOODS_1_004_CA_1,2016-04-07,5.760285
FOODS_1_004_CA_1,2016-04-08,5.9757957
FOODS_1_004_CA_1,2016-04-09,6.168452
FOODS_1_004_CA_1,2016-04-10,5.877898
FOODS_1_004_CA_1,2016-04-11,5.2460294
FOODS_1_004_CA_1,2016-04-12,5.406247
FOODS_1_004_CA_1,2016-04-13,5.467225
FOODS_1_004_CA_1,2016-04-14,5.5632997
FOODS_1_004_CA_1,2016-04-15,6.476138
FOODS_1_004_CA_1,2016-04-16,7.466585
FOODS_1_004_CA_1,2016-04-17,7.332673
FOODS_1_004_CA_1,2016-04-18,6.016245
FOODS_1_004_CA_1,2016-04-19,6.1966496
FOODS_1_004_CA_1,2016-04-20,6.470194
FOODS_1_004_CA_1,2016-04-21,6.550962
FOODS_1_004_CA_1,2016-04-22,8.064124
FOODS_1_004_CA_1,2016-04-23,8.892067
FOODS_1_004_CA_1,2016-04-24,8.810289
FOODS_1_004_TX_1,2016-03-28,0.042953994
FOODS_1_004_TX_1,2016-03-29,1.2689044
FOODS_1_004_TX_1,2016-03-30,2.589649
FOODS_1_004_TX_1,2016-03-31,6.0662227
FOODS_1_004_TX_1,2016-04-01,4.935213
FOODS_1_004_TX_1,2016-04-02,4.95071
FOODS_1_004_TX_1,2016-04-03,5.1615176
FOODS_1_004_TX_1,2016-04-04,4.1602473
FOODS_1_004_TX_1,2016-04-05,4.783056
FOODS_1_004_TX_1,2016-04-06,5.2452397
FOODS_1_004_TX_1,2016-04-07,5.147764
FOODS_1_004_TX_1,2016-04-08,4.768323
FOODS_1_004_TX_1,2016-04-09,4.5758386
FOODS_1_004_TX_1,2016-04-10,4.6211944
FOODS_1_004_TX_1,2016-04-11,4.1381354
FOODS_1_004_TX_1,2016-04-12,4.288264
FOODS_1_004_TX_1,2016-04-13,4.3630385
FOODS_1_004_TX_1,2016-04-14,4.4482975
FOODS_1_004_TX_1,2016-04-15,4.832143
FOODS_1_004_TX_1,2016-04-16,4.8143044
FOODS_1_004_TX_1,2016-04-17,5.16594
FOODS_1_004_TX_1,2016-04-18,4.223452
FOODS_1_004_TX_1,2016-04-19,4.368115
